AAR	Scare Marla badly (5)
PHOTOSTAT	Stop that fussing about nothingit's a copy! (9)
PHRASE	State with right form of expression (6)
PHYLUM	File 'em as audited classes (6)
PIC	The beginnings of "Popeye" in color movie (3)
PICCADILLY	Select a jim-dandy auditioning for a circus (10)
PICNICKER	Nolte, in movie "Emergency Room," is one eating on the grass (9)
PIECE	Share utter tranquillity (5)
PIECEMEAL	Share lunch in small portions (9)
PIERCE	Gore...a President? (6)
PIERCE	Hawkeye's dock, cold and empty (6)
PIETINNATURE	Rev. Spooner's fashion accessory: the original Frisbee?; Work, eat, run -- that's all there is
PIGEON	Mark is a slob with plenty of time (6)
PILLAR	Support Norm when getting sick (6)
PIMENTO	Introduce me to Southwestern bean stuffing for olives (7)
PINATA	Lecture and explanation extremely dull (6)
PINBALL	A game stuffing ketchup in balloons (7)
PINCHOFSALT	Organized fatso follows start of precise measurement including pound of seasoning (11)
PINIONED	Opinion: Editorial contents tightly restricted (8)
PINKO	He is leaning to the left-- immobilize with knock out (5)
PINOT	Dive has no wine (5)
PINOT	Start to wine, returning to following wrestling win? (5)
PINS	Fastens a small piece back (4)
PINSTRIPE	Fixes sheep's stomach- a classic Yankee feature (9)
PINUPS	Litter going around in pretty pictures (6)
PIONEER	First, carefully look over one running (7)
PIPEDOWN	Drain? Cap it! (4,4)
PIPES	Whistles for tarts carrying pitcher (5)
PIPESTEM	Knight's backup member meets unusually thin leg? (8)
PIPITS	Pip's acquiring it for birds (6)
PIRACY	Illegal software duplication conspiracy has no drawbacks (6)
PIRANHA	Hopi ran haven, concealing man-eaters (7)
PIRATE	Steal pastry containing rodent (6)
PISCES	Spices ruined the fish (6)
PISSANT	An idiot goes back into a pub serving small potatoes (7)
PISTACHIO	Kind of a nut, I hit a cop's convertible (9)
PIT	I say Brad's mine! (3)
PITAPAT	Beats Greek bread, Mr. Buchanan! (7)
PIVOT	Turn four in vessel (5)
PIZZERIAS	They make pies in Pier 1 while catching some Z's (9)
PJLWJ	One is inspired by a Communist broadcast (5)
PJS	Nightwear and jersey top added in afterthought (3)
PLACEBO	Control drug situation linked to a couple from Bogota (7)
PLACEBO	Put Derek in control of medical trial (7)
PLAINCLOTHESMAN	One in plot starting to curse fate; he finally evades male undercover officer (15)
PLAINSONG	Gregorian chant emanates from unmelodious Anglo spin (9)
PLAINTIFF	Person in a suit sporting ordinary flap (9)
PLAN	Design for piece of lumber unfinished (4)
PLANE	Jet to Mars for one, never reaching the end (5)
PLANET	The origins of Penelope's love are now elusive to Homer's wanderer (6)
PLANT	Factory to unveil cheap lantern part (5)
PLANTAIN	Worker packing unattractive fruit (8)
PLASTIC	Tailor clips at polyester (7)
PLATEAU	Before university, leap at rocky mesa (7)
PLATEAU	Flatten out gold plate?  Just the opposite! (7)
PLATEAU	It's on the level: Alien ate up L.A.! (7)
PLATEN	Roller pen is filled with some coffee (6)
PLATO	Endless affliction consumes nearly dead philosopher (5)
PLAYED	Gambled pay, led upset (6)
PLAYMATES	Frolicking, pals-y team? (9)
PLAYPENS	Spy plane redesigned for child restraints (8)
PLAZA	Common people loved Arbuckle's zany antics -- initially (5)
PLAZA	Marketplace hoopla zamindar extracts (5)
PLEASANT	Petitions a pest to be nice (8)
PLEASE	See lap-dancing and indulge (6)
PLEASURE	Places to lie in the grass in pure joy (8)
PLEBEIAN	Pal, I been high and low (8)
PLEDGE	Rumpled gentleman holding something for security (6)
PLEDGES	Promises end of steep rock shelves (7)
PLENIPOTENTIARY	Play entire point marvelously, with lots of power (15)
PLETHORA	Ample thorax displays a great deal more than necessary ... (8)
PLIABLE	Parking likely to be easily adaptable (7)
PLIERS	Metallurgist's tool left in pie with pitted raisins (6)
PLLINATOR	Bee perhaps flying onto pillar (10)
PLOWSHARE	Odd how ER pal's a blade (9)
PLUGINTO	Get connected with card game in far-off place (4,4)
PLUGS	Quietly pulls electrical connectors (5)
PLUMB	Install water pipes, perhaps going through damp lumber (5)
PLUMB	Prize keeps bishop on the line (5)
PLUMBAGOS	Weights laced with silver ring, forms of graphite (9)
PLUTOCRAT	Underworld biggie (and chief stoolie) is a rich and powerful person (9)
PNNK	Sounds like one of the Windsors getting upset (4)
POACHEDEGG	Pitcher-trainer lacking primary vital "edge": (grin) something to eat for breakfast (7,3)
POCATELLO	A legendary archer's in little Spanish Idaho town (9)
PODIA	Leaders in public office boosted charity foundations (5)
POETRY	Bard attempt! (6)
POINT	Finger in pot, stirring (5)
POINTLESS	Senseless and dull? (9)
POINTUT	Explain secret code describing old promoter (5,3)
POKER	Weapon in Clue game (5)
POKERFACE	Preface OK; surprisingly, it doesn't reveal anything (5,4)
POLAR	Pivotal round total ultimately in par (5)
POLE	Fishing gear with magnetic end (4)
POLER	Gondolier, say, spinning around to take off again? (5)
POLGLOT	Linguist is logy, disoriented, lying in bed (8)
POLICEMAN	Complain inordinately about excellent copper (9)
POLITBUROS	Rio subplot ruined The Presidia (10)
POLKA	U.S. President is supported by a dance (5)
POLLAW	Ask root beer company for punch (6)
POLLUTANT	Survey mutants with missing shells for a possible cause of damage (9)
POLLYANNA	Optomist rashly to count votes before a form of a negative comes up (9)
POLPOT	Head cut off misguided dictator (3,3)
POLYMER	Employ new, rare chemical compound (7)
POMADE	Hair-dresser overheard horror writer and domestic servant (6)
POMPEII	I clean up around architect's ruined city (7)
POMPOM	Clean up twice with ball of fluff (3-3)
PONTIFFS	Diva Lily describes argument for several Popes (8)
PONTOS	Oral personal history courses (6)
POOLTABLE	A couple of olives in drink for billiards area (4,5)
POORBOX	Mark hosts "Celestial Ball" the first of October--it's for charity (7)
POPLAR	Frigid around tip of pine tree (6)
POPPIES	Father's holding kind of pastry flowers (7)
POPTHEQUESTION	Propose phoniest quote, foolishly (3,3,8)
POPULACE	Wolf from South disturbs peace among the Italian masses (8)
PORCUPINE	Porn movie's finale involves Cupid, briefly, and a critter in the woods (9)
PORNO	Guy who gets his kicks from looking at dirty pictures is back on line, lacking any tail (5)
PORTIERE	Row constrained by opening curtain near doorway (8)
PORTMANTEAU	Left with pal carrying new gold case (11)
PORTRAIT	Left scoundrel stealing one picture (8)
POSEU	Come down hard on case of subversive pretender (6)
POSITIVE	Sure it's "The Raven" author in hectic visit?  Just the opposite! (8)
POSSE	Sheriff's group might be corrupted, s'pose? (5)
POSSESS	Have western bands start to sing
POSTAGE	The price of correspondence: mad Gestapo (7)
POSTAGEMETER	Greatest poem celebrating mail-room equipment
POSTAL	After Mr. Gore becomes berserk... (6)
POSTHASTE	Model that's putting on an attitude very quickly (9)
POSTHASTE	Reverend Spooner's congregants join together in fast (9)
POSTMORTEM	For the final exam, write sonnet about Saint Mortimer (10)
POSTNASAL	A kind of drip sat on laps much too freely (9)
POTABLES	Wild apes bolt - they may be drunk (8)
POTENTIAL	Possible anagram of Lipton Tea (9)
POTHERB	Lead around other green (7)
POTTERY	It's like Harry to find a place to make dishes (7)
POUR	Serve drinks for Parisian (4)
POWDER	Pulverize prisoner of war turned communist (6)
POWER	Pull 500 from newfallen snow (5)
PRACTICAL	Friend captures random Arctic sound (9)
PRACTICES	Commonly uses pretense in expenses (9)
PRACTICES	Magician, for example, bears costs of rehearsals (9)
PRAGUE	Gear up! Storming country's capital (6)
PRAIRIE	Brace restrains Rottweiler's head, that is plain (7)
PRAIRIE	It's a plain pastry with a serving of raspberry and some light stuff (7)
PRAWN	Patsy consumes last of her shrimp (5)
PRAY	Ask for something lower on the food chain in your mouth (4)
PRAYER	A little bit of sunshine in each Ave Maria (6)
PRAYER	Appeal is made by singer Charles, held in check by contrarian agent (6)
PREANNOUNCEMENT	Right for one in tribute - the subject of this, for one - to stick in early declaration  (15)
PRECEDE	Come before chief of police, and back off (7)
PRECEDE	Quiet. I can hear broadcast again. Go ahead (7)
PRECOCITY	Old English mixed into edited cryptic shows exceptional maturity (9)
PREDATE	To arise earlier, clergyman has heart transplant (7)
PREEN	Note found in prison is swell (5)
PREEN	Prom couple steals crown from teen dress up (5)
PREGNANT	About to become a parent? Fool around with  parenting? Not I (8)
PRELAW	Aiming for the bar, heads to party regretting each lost alcoholic weekend (6)
PRELUDE	Fix up elder's introduction (7)
PREPAYMENT	My paper redesigned a new 'Net for an early cash settlement (10)
PRESBYTERIANS	Christian group confused Britney Spears (13)
PRESENTER	M.C. with overexcited serpent heads to exit right (9)
PRESENTS	Shows reporters covering otolaryngologist (8)
PRESERVE	Perverse eccentric in pickle (8)
PRESIDENT	Inauguration of Pennsylvania resident who occupies 1600 Pennsylvania Ave (9)
PRESIDENT	Leaders' offers to hold identification (10)
PRESIDENTS	Bigwigs lying in Egypt, resident says (10)
PRESIDIO	Rio spied beleaguered fort (8)
PRESLEY	Sharp bark echoes over residence of the widow Priscilla (7)
PRESSURE	Urgency is certainly following president (8)
PRESSURED	Urgently compelled president?  Sure - with democratic leader (9)
PRESTIDIGITATOR	Peace and quiet beforehand...   I enjoy it (a high point for a trickster?)  (15)
PRESTO	Sound advice to shoe-fitter in a rush (6)
PRESUMED	Supposed pre-med is holding us back (8)
PRETENDERS	Bush imprisons fragile claimants to the throne (10)
PRETTIER	Finer public relations story behind Spielberg character (8)
PRETTYMUCH	Pet Cru myth shattered?  Mostly! (6,4)
PREVAIL	Gun in pail to remain (7)
PREVAIL	Put gun in bucket to win (7)
PREVENT	Avert P.R. incident  (7)
PRICIER	Hype cooler with a higher retail value (7)
PRIED	Probed announcer's self-esteem (5)
PRIESTS	Problems involving Rhode Island clergy (7)
PRIMATE	Koko, for one, is neat and nourished (7)
PRIMATE	Monkey around, at best (7)
PRIMEMOVER	Major producer to get Mayflower ready to roll? (5,5)
PRIMETIME	Permit me; I rearranged busiest schedule slots (5,4)
PRINCESSES	Anne and Di Inc. goes into publishing (10)
PRIORS	Monks' past convictions (6)
PRISM	Glint of silica in neat crystal (5)
PRISM	Proper to have a little sex? This gives a slanted view (5)
PRIVATEEYE	To the Reverend, James Herriot confesses to being nosy man who looks for clues (7,3)
PRIVY	"Drip" splits prize with British Council (5)
PROCEDURE	Some rude corporations concealing regressive protocol (9)
PROCREATE	Reproduce lost ace report (9)
PROFESSORIAL	Oral for spies dressed like tenured faculty members (12)
PROGRESS	Press dreadful woman to go ahead (8)
PROM	Dance professional married (4)
PRONG	Tine expert no good (5)
PRONOUNCE	Jump all over Kegler, say (9)
PRONOUNCEMENT	I, for one, adhere to edict (13)
PROPER	Move right instead of left, right? (6)
PROPHETS	Forecasters' gains audited (8)
PROSPERED	Shakespearean character, making the second OED, did well (9)
PROSPERO	Shakespearean character experts, each with nothing (8)
PROTECTED	Insured copter Ted crashed (9)
PROTEST	Object for examination (7)
PROTEST	Object to professional examination (7)
PROTESTERS	Those who object to expert examiners (10)
PROTRACTOR	One who continues in favor of farm equipment (10)
PROUDLY	Arrogantly pry into loud disruption?  Just the opposite! (7)
PROVOKING	Inciting anger in the ruler of a Utah city? (9)
PROWESS	Bravery of marine figurehead?? (7)
PROWL	Sneak around front end of stairwell (5)
PSALM	Sitting in tree, sparrow's beginning song (5)
PSANDQS	Softly, French author questions socially correct behavior (2,3,2)
PSEEDEERHE	Talk about a small space rabbit
PSEUDONYM	Name assumed to be no dupe's my disguise (9)
PSHAW	Listening to playwright's baloney (5)
PSHAW	Playwright's reading yields expression of contempt (5)
PSYCHICS	In in spy's confused seers (8)
PSYCHOANALYSTS	Insane sycophant slays doctors (14)
PTARMIGAN	Sailor with Russian jet holding pot for bird?  Just the opposite! (9)
PUBLICANS	Members of the GOP missing note for bartenders (9)
PUBLISH	Leaders of prison uprising believe legal institutions should hastily perish?  Just the opposite! (7)
PUFF	Bloat, rising up at finish, facing front ... (4)
PUFFS	Magic Dragon's smoke signals (5)
PULPITS	Cast split up platforms for speakers (7)
PUMICE	Polish unfinished shoe with hard substance (6)
PUNCHBALL	"Baseball without a bat" is a play on words at church dance (9)
PUNCTUATE	Mark ate cut up bananas with a dash of nutmeg (9)
PUNJAB	Region of India's corny joke, dig?  (6)
PUNSTER	Screwball erupts about England's premier humorist (7)
PUNSTERS	Gamblers holding last of trumps and jokers (8)
PUPIL	Student getting black eye, opening light transmitter (5)
PUPPET	Loved one, taking up piano, becomes stooge (6)
PUPPIES	Finally sweep up piles (50 leaves) of litter (7)
PUPS	Appended note: "Round up litter" (4)
PURCHASE	Charles is being held in innocent transaction (8)
PUREELEEREEK	Clean sheep's heart, run through a blender; Ogle Lee Meriwether's butt; Quickly, look behind piano: I see a mouse
PUREST	Least corrupt place hosts legal matter (6)
PURIM	Jewish festival features Geller in evening (5)
PURITAN	Uncompromising joke about Ms. Hayworth (7)
PURLIEU	Oft-visited neighborhood, according to Gehrig, reportedly (7)
PUTRID	Establish clear rank (6)
PUTTERS	Trifles with clubs  (7)
PUTTODEATH	"Top Hat" duet movingly executed (3,2,5)
PXVD	Soon to be an unknown writer (4)
QAPPOINTMENT	Question associate of 007; Soldiers at the front occupying suitable position
QESTIONED	Unfortunately send quote I challenged (10)
QUACKERY	Investigation gets acknowledgment of fraudulent practice (8)
QUADRANT	Drive put in as hill-dweller's means of gaining altitude (8)
QUAFF	Leaders of Quebec unconvinced after first French draft (5)
QUAHOGOGRASH	Clam up, say, in swamp (6); [2]; Ill-considered series (4)
QUAIL	Shy kind of bird (5)
QUALITYSWAPS	Wharf framing caught fire in Superior; Trades laid-back southpaws?
QUANTUM	(with 12A) Spectacular advance perhaps, put man equal...(7,4)
QUARREL	What's flung by a crossbow in an altercation (7)
QUARTS	Measures sound like rock (6)
QUAY	Landing site is important, we hear (4)
QUEENOFDIAMONDS	Red-faced lady to shake up mosque and do fine (5,2,8)
QUEENS	Royals in New York City (6)
QUEUES	Prompts spoken lines (6)
QUIET	Quite atypically, having nothing to say (5)
QUIET	Stop taking Ecstasy, Mum! (5)
QUIP	Sally, Quentin, Ursula, Ida, and Paul's debuts (4)
QUIVER	Trembling, in case of arrows (6)
QUIXOTE	Failing hero's citation spans 9 Roman units (7)
QUOITS	Gaining nothing, leaves game (6)
QWVXAM	Cover man digesting the New Testament (6)
RABBITEARS	Cleric runs into image-maker? (6,4)
RABBITEARS	Jewish leader rents antenna (6,4)
RABBITEARS	Jewish scholar pulls apart antenna (6,4)
RACINESS	French dramatist's southern ribaldry (8)
RACKETEER	Criminal support always follows alien (9)
RACONTEUR	Cut on rear upset Garrison Keillor, for one (9)
RADAR	Clerk of the 4077th both coming and going? (5)
RADAR	It can track you coming and going (5)
RADARTRAP	It's initially recording automobiles speed, leading to charge (5,4)
RADCLIFFE	Bluff included in reckless dare in ivy league college (9)
RADICAL	A revolutionary kind of tire contains a bit of carbide (7)
RADICALLY	Rally has promotion I created primarily in a new way (9)
RADII	Dorm elder, dreading it immensely at first, spoke repeatedly (5)
RADII	More than one spoke in the sequel to "Far Out"? (5)
RADISHES	Veggies can be found in half of rare dishes (8)
RAFFLED	British aviators took off and held a drawing (7)
RAFFLING	...selling chances for English pilots' dance (8)
RAFT	Number one taken off manuscript (4)
RAGAMUFFIN	Make fun of a miscue in an unkempt child (10)
